City,Year,EV_Count,Electric Range,Weighted_Demand,temperature,humidity,pressure,wind_speed,traffic_volume
Dallas,2021,0.0,60.233250657327446,0.0,15.60898532309066,67.40729359486815,1017.6544541318435,2.8434920046130574,3256.035589584824
Dallas,2022,1.0,0.0,0.0,15.60898532309066,67.40729359486815,1017.6544541318435,2.8434920046130574,3256.035589584824
Dallas,2023,0.0,60.233250657327446,0.0,15.60898532309066,67.40729359486815,1017.6544541318435,2.8434920046130574,3256.035589584824
Dallas,2024,0.0,60.233250657327446,0.0,15.60898532309066,67.40729359486815,1017.6544541318435,2.8434920046130574,3256.035589584824
Chicago,2015,0.0,60.233250657327446,0.0,9.117614411445434,76.52671232876712,1024.402397260274,3.992694063926941,3256.035589584824
Chicago,2016,0.0,60.233250657327446,0.0,11.36669989025797,72.30430327868852,1015.7392987249544,3.897768670309654,3256.035589584824
Chicago,2017,0.0,60.233250657327446,0.0,12.486802052178156,70.74102339547103,1015.7876892280746,3.918553734517703,3256.035589584824
Chicago,2018,0.0,60.233250657327446,0.0,15.60898532309066,67.40729359486815,1017.6544541318435,2.8434920046130574,3256.035589584824
Chicago,2019,0.0,60.233250657327446,0.0,15.60898532309066,67.40729359486815,1017.6544541318435,2.8434920046130574,3256.035589584824
Chicago,2020,0.0,60.233250657327446,0.0,15.60898532309066,67.40729359486815,1017.6544541318435,2.8434920046130574,3256.035589584824
Chicago,2021,0.0,60.233250657327446,0.0,15.60898532309066,67.40729359486815,1017.6544541318435,2.8434920046130574,3256.035589584824
Chicago,2022,1.0,32.0,32.0,15.60898532309066,67.40729359486815,1017.6544541318435,2.8434920046130574,3256.035589584824
Chicago,2023,0.0,60.233250657327446,0.0,15.60898532309066,67.40729359486815,1017.6544541318435,2.8434920046130574,3256.035589584824
Chicago,2024,0.0,60.233250657327446,0.0,15.60898532309066,67.40729359486815,1017.6544541318435,2.8434920046130574,3256.035589584824
San Francisco,2015,0.0,60.233250657327446,0.0,14.923482345833333,81.08207762557078,1022.5877853881278,2.847146118721461,3256.035589584824
San Francisco,2016,0.0,60.233250657327446,0.0,15.245490222347449,74.71550546448087,1016.6432149362478,3.222108378870674,3256.035589584824
San Francisco,2017,0.0,60.233250657327446,0.0,17.64486238612536,69.48192168147129,1015.1772801201051,3.201801576379332,3256.035589584824
San Francisco,2018,0.0,60.233250657327446,0.0,15.60898532309066,67.40729359486815,1017.6544541318435,2.8434920046130574,3256.035589584824
San Francisco,2019,0.0,60.233250657327446,0.0,15.60898532309066,67.40729359486815,1017.6544541318435,2.8434920046130574,3256.035589584824
San Francisco,2020,1.0,291.0,291.0,15.60898532309066,67.40729359486815,1017.6544541318435,2.8434920046130574,3256.035589584824
San Francisco,2021,0.0,60.233250657327446,0.0,15.60898532309066,67.40729359486815,1017.6544541318435,2.8434920046130574,3256.035589584824
San Francisco,2022,0.0,60.233250657327446,0.0,15.60898532309066,67.40729359486815,1017.6544541318435,2.8434920046130574,3256.035589584824
San Francisco,2023,0.0,60.233250657327446,0.0,15.60898532309066,67.40729359486815,1017.6544541318435,2.8434920046130574,3256.035589584824
San Francisco,2024,0.0,60.233250657327446,0.0,15.60898532309066,67.40729359486815,1017.6544541318435,2.8434920046130574,3256.035589584824
Las Vegas,2015,0.0,60.233250657327446,0.0,17.8878082591871,35.42454337899543,1019.9899543378996,2.2569634703196346,3256.035589584824
Las Vegas,2016,0.0,60.233250657327446,0.0,19.99685423363183,31.043146630236794,1004.3328779599271,2.6607468123861566,3256.035589584824
Las Vegas,2017,0.0,60.233250657327446,0.0,22.03762193696985,28.808582509695984,1011.672338296009,3.289002877517828,3256.035589584824
Las Vegas,2018,0.0,60.233250657327446,0.0,15.60898532309066,67.40729359486815,1017.6544541318435,2.8434920046130574,3256.035589584824
Las Vegas,2019,0.0,60.233250657327446,0.0,15.60898532309066,67.40729359486815,1017.6544541318435,2.8434920046130574,3256.035589584824
Las Vegas,2020,0.0,60.233250657327446,0.0,15.60898532309066,67.40729359486815,1017.6544541318435,2.8434920046130574,3256.035589584824
Las Vegas,2021,0.0,60.233250657327446,0.0,15.60898532309066,67.40729359486815,1017.6544541318435,2.8434920046130574,3256.035589584824
Las Vegas,2022,0.0,60.233250657327446,0.0,15.60898532309066,67.40729359486815,1017.6544541318435,2.8434920046130574,3256.035589584824
Las Vegas,2023,2.0,0.0,0.0,15.60898532309066,67.40729359486815,1017.6544541318435,2.8434920046130574,3256.035589584824
Las Vegas,2024,0.0,60.233250657327446,0.0,15.60898532309066,67.40729359486815,1017.6544541318435,2.8434920046130574,3256.035589584824
Nashville,2015,0.0,60.233250657327446,0.0,15.480119481102511,69.83287671232877,1025.6417808219178,2.3788812785388127,3256.035589584824
Nashville,2016,0.0,60.233250657327446,0.0,16.373245355748864,64.86987704918033,1017.5431466302368,2.609289617486339,3256.035589584824
Nashville,2017,0.0,60.233250657327446,0.0,17.287410494119854,70.82609783560615,1016.96184161141,2.6350556737145,3256.035589584824
Nashville,2018,0.0,60.233250657327446,0.0,15.60898532309066,67.40729359486815,1017.6544541318435,2.8434920046130574,3256.035589584824
Nashville,2019,0.0,60.233250657327446,0.0,15.60898532309066,67.40729359486815,1017.6544541318435,2.8434920046130574,3256.035589584824
Nashville,2020,0.0,60.233250657327446,0.0,15.60898532309066,67.40729359486815,1017.6544541318435,2.8434920046130574,3256.035589584824
Nashville,2021,0.0,60.233250657327446,0.0,15.60898532309066,67.40729359486815,1017.6544541318435,2.8434920046130574,3256.035589584824
Nashville,2022,1.0,0.0,0.0,15.60898532309066,67.40729359486815,1017.6544541318435,2.8434920046130574,3256.035589584824
Nashville,2023,0.0,60.233250657327446,0.0,15.60898532309066,67.40729359486815,1017.6544541318435,2.8434920046130574,3256.035589584824
Nashville,2024,0.0,60.233250657327446,0.0,15.60898532309066,67.40729359486815,1017.6544541318435,2.8434920046130574,3256.035589584824
Minneapolis,2015,0.0,60.233250657327446,0.0,8.242395358452512,71.36312785388128,1023.1521689497716,3.5340182648401828,3242.9009833066543
Minneapolis,2016,0.0,60.233250657327446,0.0,8.998083424183402,71.39697176684882,1012.6647313296903,3.4545765027322406,3169.441328175371
Minneapolis,2017,0.0,60.233250657327446,0.0,9.822138541877893,68.97535343425497,1014.3619416989866,3.428249718503691,3355.764457272446
Minneapolis,2018,0.0,60.233250657327446,0.0,15.60898532309066,67.40729359486815,1017.6544541318435,2.8434920046130574,3256.035589584824
Minneapolis,2019,1.0,220.0,220.0,15.60898532309066,67.40729359486815,1017.6544541318435,2.8434920046130574,3256.035589584824
Minneapolis,2020,0.0,60.233250657327446,0.0,15.60898532309066,67.40729359486815,1017.6544541318435,2.8434920046130574,3256.035589584824
Minneapolis,2021,0.0,60.233250657327446,0.0,15.60898532309066,67.40729359486815,1017.6544541318435,2.8434920046130574,3256.035589584824
Minneapolis,2022,0.0,60.233250657327446,0.0,15.60898532309066,67.40729359486815,1017.6544541318435,2.8434920046130574,3256.035589584824
Minneapolis,2023,0.0,60.233250657327446,0.0,15.60898532309066,67.40729359486815,1017.6544541318435,2.8434920046130574,3256.035589584824
Minneapolis,2024,0.0,60.233250657327446,0.0,15.60898532309066,67.40729359486815,1017.6544541318435,2.8434920046130574,3256.035589584824
Boston,2015,0.0,60.233250657327446,0.0,10.176839079094863,83.11689497716895,1024.3133561643835,3.8776255707762557,3256.035589584824
Boston,2016,0.0,60.233250657327446,0.0,11.110194447144695,75.62682149362477,1018.0308515482695,3.554758652094718,3256.035589584824
Boston,2017,0.0,60.233250657327446,0.0,12.117695587054923,76.49705992743651,1017.1899161766546,3.671587639184286,3256.035589584824
Boston,2018,0.0,60.233250657327446,0.0,15.60898532309066,67.40729359486815,1017.6544541318435,2.8434920046130574,3256.035589584824
